algorithm,ms,n,input,input-num
Powersort,493.115831,1000000,random-permutations,1
Powersort,501.146582,1000000,random-permutations,2
Powersort,509.894016,1000000,random-permutations,3
Powersort,483.712655,1000000,random-permutations,4
Powersort,430.837566,1000000,random-permutations,5
Powersort,608.410611,1000000,random-permutations,6
Powersort,465.415316,1000000,random-permutations,7
Powersort,441.269775,1000000,random-permutations,8
Powersort,413.887093,1000000,random-permutations,9
Powersort,460.729367,1000000,random-permutations,10
Powersort,442.51049,1000000,random-permutations,11
Powersort,416.373187,1000000,random-permutations,12
Powersort,431.252536,1000000,random-permutations,13
Powersort,427.33848,1000000,random-permutations,14
Powersort,409.36462,1000000,random-permutations,15
Powersort,415.267301,1000000,random-permutations,16
Powersort,438.164571,1000000,random-permutations,17
Powersort,438.272826,1000000,random-permutations,18
Powersort,439.783895,1000000,random-permutations,19
Powersort,444.676099,1000000,random-permutations,20
Powersort,416.932428,1000000,random-permutations,21
Powersort,452.529918,1000000,random-permutations,22
Powersort,588.183655,1000000,random-permutations,23
Powersort,474.383137,1000000,random-permutations,24
Powersort,496.665809,1000000,random-permutations,25
Powersort,478.404004,1000000,random-permutations,26
Powersort,424.851571,1000000,random-permutations,27
Powersort,464.26974,1000000,random-permutations,28
Powersort,451.179695,1000000,random-permutations,29
Powersort,416.125316,1000000,random-permutations,30
Powersort,457.767348,1000000,random-permutations,31
Powersort,422.591124,1000000,random-permutations,32
Powersort,417.012081,1000000,random-permutations,33
Powersort,476.199737,1000000,random-permutations,34
Powersort,398.68249,1000000,random-permutations,35
Powersort,397.296707,1000000,random-permutations,36
Powersort,397.561874,1000000,random-permutations,37
Powersort,398.023529,1000000,random-permutations,38
Powersort,405.131036,1000000,random-permutations,39
Powersort,395.936225,1000000,random-permutations,40
Powersort,396.972645,1000000,random-permutations,41
Powersort,487.819511,1000000,random-permutations,42
Powersort,400.141392,1000000,random-permutations,43
Powersort,398.16022,1000000,random-permutations,44
Powersort,395.986158,1000000,random-permutations,45
Powersort,393.261268,1000000,random-permutations,46
Powersort,396.236956,1000000,random-permutations,47
Powersort,396.544251,1000000,random-permutations,48
Powersort,400.868242,1000000,random-permutations,49
Powersort,397.899201,1000000,random-permutations,50
Powersort,393.896715,1000000,random-permutations,51
Powersort,403.753061,1000000,random-permutations,52
Powersort,393.523475,1000000,random-permutations,53
Powersort,416.633288,1000000,random-permutations,54
Powersort,392.390767,1000000,random-permutations,55
Powersort,397.049989,1000000,random-permutations,56
Powersort,399.349733,1000000,random-permutations,57
Powersort,401.91432,1000000,random-permutations,58
Powersort,404.800801,1000000,random-permutations,59
Powersort,395.737228,1000000,random-permutations,60
Powersort,409.555423,1000000,random-permutations,61
Powersort,401.39763,1000000,random-permutations,62
Powersort,398.869671,1000000,random-permutations,63
Powersort,401.903843,1000000,random-permutations,64
Powersort,401.235122,1000000,random-permutations,65
Powersort,396.203708,1000000,random-permutations,66
Powersort,393.68175,1000000,random-permutations,67
Powersort,403.106189,1000000,random-permutations,68
Powersort,405.393783,1000000,random-permutations,69
Powersort,394.500023,1000000,random-permutations,70
Powersort,392.865074,1000000,random-permutations,71
Powersort,388.770014,1000000,random-permutations,72
Powersort,395.894738,1000000,random-permutations,73
Powersort,413.744351,1000000,random-permutations,74
Powersort,393.988739,1000000,random-permutations,75
Powersort,390.499924,1000000,random-permutations,76
Powersort,396.926616,1000000,random-permutations,77
Powersort,389.591073,1000000,random-permutations,78
Powersort,419.175047,1000000,random-permutations,79
Powersort,376.360615,1000000,random-permutations,80
Powersort,385.246516,1000000,random-permutations,81
Powersort,394.527549,1000000,random-permutations,82
Powersort,392.802384,1000000,random-permutations,83
Powersort,397.656317,1000000,random-permutations,84
Powersort,393.60931,1000000,random-permutations,85
Powersort,393.39448,1000000,random-permutations,86
