algorithm,ms,n,input,input-num
Powersort+timsortTempSizing,346.491968,1000000,runs-with-exp-len-10,3
Powersort+timsortTempSizing,344.250397,1000000,runs-with-exp-len-10,4
Powersort+timsortTempSizing,341.846747,1000000,runs-with-exp-len-10,5
Powersort+timsortTempSizing,347.372163,1000000,runs-with-exp-len-10,6
Powersort+timsortTempSizing,349.959103,1000000,runs-with-exp-len-10,7
Powersort+timsortTempSizing,343.428271,1000000,runs-with-exp-len-10,8
Powersort+timsortTempSizing,345.238274,1000000,runs-with-exp-len-10,9
Powersort+timsortTempSizing,348.400026,1000000,runs-with-exp-len-10,10
Powersort+timsortTempSizing,347.824369,1000000,runs-with-exp-len-10,11
Powersort+timsortTempSizing,342.709298,1000000,runs-with-exp-len-10,12
Powersort+timsortTempSizing,365.80624,1000000,runs-with-exp-len-10,13
Powersort+timsortTempSizing,375.392084,1000000,runs-with-exp-len-10,14
Powersort+timsortTempSizing,337.647699,1000000,runs-with-exp-len-10,15
Powersort+timsortTempSizing,336.288189,1000000,runs-with-exp-len-10,16
Powersort+timsortTempSizing,352.682957,1000000,runs-with-exp-len-10,17
Powersort+timsortTempSizing,345.608986,1000000,runs-with-exp-len-10,18
Powersort+timsortTempSizing,346.434536,1000000,runs-with-exp-len-10,19
Powersort+timsortTempSizing,348.267238,1000000,runs-with-exp-len-10,20
Powersort+timsortTempSizing,347.40639,1000000,runs-with-exp-len-10,21
Powersort+timsortTempSizing,346.082715,1000000,runs-with-exp-len-10,22
Powersort+timsortTempSizing,348.800067,1000000,runs-with-exp-len-10,23
Powersort+timsortTempSizing,348.425263,1000000,runs-with-exp-len-10,24
Powersort+timsortTempSizing,352.14414,1000000,runs-with-exp-len-10,25
Powersort+timsortTempSizing,360.062615,1000000,runs-with-exp-len-10,26
Powersort+timsortTempSizing,355.434727,1000000,runs-with-exp-len-10,27
Powersort+timsortTempSizing,347.048381,1000000,runs-with-exp-len-10,28
Powersort+timsortTempSizing,354.057611,1000000,runs-with-exp-len-10,29
Powersort+timsortTempSizing,349.65607,1000000,runs-with-exp-len-10,30
Powersort+timsortTempSizing,345.480483,1000000,runs-with-exp-len-10,31
Powersort+timsortTempSizing,343.087346,1000000,runs-with-exp-len-10,32
Powersort+timsortTempSizing,342.684134,1000000,runs-with-exp-len-10,33
Powersort+timsortTempSizing,350.901601,1000000,runs-with-exp-len-10,34
Powersort+timsortTempSizing,341.823922,1000000,runs-with-exp-len-10,35
Powersort+timsortTempSizing,351.04457,1000000,runs-with-exp-len-10,36
Powersort+timsortTempSizing,361.584536,1000000,runs-with-exp-len-10,37
Powersort+timsortTempSizing,353.656343,1000000,runs-with-exp-len-10,38
Powersort+timsortTempSizing,429.555087,1000000,runs-with-exp-len-10,39
Powersort+timsortTempSizing,378.592721,1000000,runs-with-exp-len-10,40
