algorithm,ms,n,input,input-num
Powersort,433.391195,1000000,random-permutations,1
Powersort,435.824567,1000000,random-permutations,2
Powersort,429.364234,1000000,random-permutations,3
Powersort,419.066726,1000000,random-permutations,4
Powersort,429.867552,1000000,random-permutations,5
Powersort,447.442991,1000000,random-permutations,6
Powersort,426.531956,1000000,random-permutations,7
Powersort,426.065227,1000000,random-permutations,8
Powersort,451.169233,1000000,random-permutations,9
Powersort,422.390493,1000000,random-permutations,10
Powersort,430.676818,1000000,random-permutations,11
Powersort,426.175615,1000000,random-permutations,12
Powersort,429.211535,1000000,random-permutations,13
Powersort,440.96837,1000000,random-permutations,14
Powersort,430.389517,1000000,random-permutations,15
Powersort,427.496315,1000000,random-permutations,16
Powersort,426.833108,1000000,random-permutations,17
Powersort,405.365156,1000000,random-permutations,18
Powersort,426.580424,1000000,random-permutations,19
Powersort,421.980257,1000000,random-permutations,20
Powersort,427.385644,1000000,random-permutations,21
Powersort,424.669117,1000000,random-permutations,22
Powersort,406.326096,1000000,random-permutations,23
Powersort,423.303492,1000000,random-permutations,24
Powersort,431.625926,1000000,random-permutations,25
Powersort,388.228019,1000000,random-permutations,26
Powersort,425.971413,1000000,random-permutations,27
Powersort,429.091459,1000000,random-permutations,28
Powersort,431.274898,1000000,random-permutations,29
Powersort,535.954734,1000000,random-permutations,30
Powersort,430.99814,1000000,random-permutations,31
Powersort,426.262619,1000000,random-permutations,32
Powersort,437.022566,1000000,random-permutations,33
Powersort,413.719647,1000000,random-permutations,34
Powersort,427.164511,1000000,random-permutations,35
Powersort,426.258606,1000000,random-permutations,36
Powersort,480.242401,1000000,random-permutations,37
Powersort,355.97512,1000000,random-permutations,38
Powersort,430.067224,1000000,random-permutations,39
Powersort,427.091215,1000000,random-permutations,40
Powersort,457.337061,1000000,random-permutations,41
Powersort,425.971451,1000000,random-permutations,42
Powersort,436.150107,1000000,random-permutations,43
Powersort,425.642062,1000000,random-permutations,44
Powersort,440.826882,1000000,random-permutations,45
Powersort,429.76182,1000000,random-permutations,46
Powersort,418.465073,1000000,random-permutations,47
Powersort,404.818577,1000000,random-permutations,48
Powersort,406.358577,1000000,random-permutations,49
Powersort,403.579329,1000000,random-permutations,50
Powersort,422.301506,1000000,random-permutations,51
Powersort,440.242712,1000000,random-permutations,52
Powersort,424.512851,1000000,random-permutations,53
Powersort,425.819578,1000000,random-permutations,54
Powersort,419.70741,1000000,random-permutations,55
Powersort,430.150152,1000000,random-permutations,56
Powersort,424.621757,1000000,random-permutations,57
Powersort,423.86203,1000000,random-permutations,58
Powersort,434.495627,1000000,random-permutations,59
Powersort,425.059389,1000000,random-permutations,60
Powersort,422.440285,1000000,random-permutations,61
Powersort,419.767957,1000000,random-permutations,62
Powersort,396.354526,1000000,random-permutations,63
Powersort,414.503414,1000000,random-permutations,64
Powersort,429.84714,1000000,random-permutations,65
Powersort,488.855613,1000000,random-permutations,66
Powersort,448.724718,1000000,random-permutations,67
Powersort,445.433587,1000000,random-permutations,68
Powersort,438.579285,1000000,random-permutations,69
Powersort,430.502707,1000000,random-permutations,70
Powersort,451.354608,1000000,random-permutations,71
Powersort,368.119345,1000000,random-permutations,72
Powersort,428.52451,1000000,random-permutations,73
Powersort,435.644475,1000000,random-permutations,74
Powersort,465.893913,1000000,random-permutations,75
Powersort,410.825557,1000000,random-permutations,76
Powersort,435.09955,1000000,random-permutations,77
Powersort,449.034276,1000000,random-permutations,78
Powersort,409.8425,1000000,random-permutations,79
Powersort,427.31532,1000000,random-permutations,80
Powersort,407.837899,1000000,random-permutations,81
Powersort,441.47074,1000000,random-permutations,82
Powersort,429.531113,1000000,random-permutations,83
Powersort,430.09356,1000000,random-permutations,84
Powersort,428.221141,1000000,random-permutations,85
Powersort,450.839427,1000000,random-permutations,86
Powersort,435.630008,1000000,random-permutations,87
Powersort,433.743235,1000000,random-permutations,88
Powersort,438.83468,1000000,random-permutations,89
Powersort,438.133633,1000000,random-permutations,90
Powersort,455.282856,1000000,random-permutations,91
Powersort,417.908102,1000000,random-permutations,92
Powersort,434.536573,1000000,random-permutations,93
Powersort,483.808936,1000000,random-permutations,94
Powersort,469.241829,1000000,random-permutations,95
Powersort,438.126441,1000000,random-permutations,96
Powersort,433.511985,1000000,random-permutations,97
Powersort,434.987132,1000000,random-permutations,98
Powersort,445.28418,1000000,random-permutations,99
#finished: -2023-03-23_17-33-59
