algorithm,ms,n,input,input-num
Timsort,362.094403,1000000,random-permutations,1
Timsort,373.051446,1000000,random-permutations,2
Timsort,355.749546,1000000,random-permutations,3
Timsort,371.278858,1000000,random-permutations,4
Timsort,344.41882,1000000,random-permutations,5
Timsort,342.866487,1000000,random-permutations,6
Timsort,353.072956,1000000,random-permutations,7
Timsort,373.792408,1000000,random-permutations,8
Timsort,354.808958,1000000,random-permutations,9
Timsort,363.578505,1000000,random-permutations,10
Timsort,374.151484,1000000,random-permutations,11
Timsort,376.813346,1000000,random-permutations,12
Timsort,384.665654,1000000,random-permutations,13
Timsort,370.891959,1000000,random-permutations,14
Timsort,370.314293,1000000,random-permutations,15
Timsort,378.939624,1000000,random-permutations,16
Timsort,370.759237,1000000,random-permutations,17
Timsort,381.534977,1000000,random-permutations,18
Timsort,382.196587,1000000,random-permutations,19
Timsort,362.448944,1000000,random-permutations,20
Timsort,350.329112,1000000,random-permutations,21
Timsort,355.624025,1000000,random-permutations,22
Timsort,350.763216,1000000,random-permutations,23
Timsort,357.417142,1000000,random-permutations,24
Timsort,358.739238,1000000,random-permutations,25
Timsort,385.966765,1000000,random-permutations,26
Timsort,355.785812,1000000,random-permutations,27
Timsort,354.541461,1000000,random-permutations,28
Timsort,349.026973,1000000,random-permutations,29
Timsort,344.824928,1000000,random-permutations,30
Timsort,336.948815,1000000,random-permutations,31
Timsort,357.842698,1000000,random-permutations,32
Timsort,352.079232,1000000,random-permutations,33
Timsort,362.109749,1000000,random-permutations,34
Timsort,351.677062,1000000,random-permutations,35
Timsort,353.218732,1000000,random-permutations,36
Timsort,354.246618,1000000,random-permutations,37
Timsort,342.836891,1000000,random-permutations,38
Timsort,348.552233,1000000,random-permutations,39
Timsort,344.682369,1000000,random-permutations,40
Timsort,356.345432,1000000,random-permutations,41
Timsort,346.851339,1000000,random-permutations,42
Timsort,360.55627,1000000,random-permutations,43
Timsort,357.312629,1000000,random-permutations,44
Timsort,358.866127,1000000,random-permutations,45
Timsort,352.459294,1000000,random-permutations,46
Timsort,359.378012,1000000,random-permutations,47
Timsort,343.454727,1000000,random-permutations,48
Timsort,355.775339,1000000,random-permutations,49
Timsort,339.861991,1000000,random-permutations,50
Timsort,341.906491,1000000,random-permutations,51
Timsort,363.137185,1000000,random-permutations,52
Timsort,363.245939,1000000,random-permutations,53
Timsort,368.272366,1000000,random-permutations,54
Timsort,361.475124,1000000,random-permutations,55
Timsort,350.645408,1000000,random-permutations,56
Timsort,336.483515,1000000,random-permutations,57
Timsort,339.143547,1000000,random-permutations,58
Timsort,345.645042,1000000,random-permutations,59
Timsort,348.842618,1000000,random-permutations,60
Timsort,365.168871,1000000,random-permutations,61
Timsort,356.247922,1000000,random-permutations,62
Timsort,361.464882,1000000,random-permutations,63
Timsort,360.864127,1000000,random-permutations,64
Timsort,367.579913,1000000,random-permutations,65
Timsort,395.962882,1000000,random-permutations,66
Timsort,392.089746,1000000,random-permutations,67
Timsort,410.882624,1000000,random-permutations,68
Timsort,417.074597,1000000,random-permutations,69
Timsort,418.24515,1000000,random-permutations,70
Timsort,394.572034,1000000,random-permutations,71
Timsort,435.461836,1000000,random-permutations,72
Timsort,394.583175,1000000,random-permutations,73
Timsort,403.547317,1000000,random-permutations,74
Timsort,411.10572,1000000,random-permutations,75
Timsort,402.903402,1000000,random-permutations,76
Timsort,414.447131,1000000,random-permutations,77
Timsort,393.525475,1000000,random-permutations,78
Timsort,433.774745,1000000,random-permutations,79
Timsort,409.402687,1000000,random-permutations,80
Timsort,406.891113,1000000,random-permutations,81
Timsort,456.364361,1000000,random-permutations,82
Timsort,398.493977,1000000,random-permutations,83
Timsort,393.826285,1000000,random-permutations,84
Timsort,394.794714,1000000,random-permutations,85
Timsort,402.863064,1000000,random-permutations,86
Timsort,403.178098,1000000,random-permutations,87
Timsort,379.956554,1000000,random-permutations,88
Timsort,396.618193,1000000,random-permutations,89
Timsort,426.43077,1000000,random-permutations,90
Timsort,382.867089,1000000,random-permutations,91
Timsort,425.379399,1000000,random-permutations,92
Timsort,473.224538,1000000,random-permutations,93
Timsort,429.783889,1000000,random-permutations,94
Timsort,410.246525,1000000,random-permutations,95
Timsort,386.63658,1000000,random-permutations,96
Timsort,397.732633,1000000,random-permutations,97
Timsort,417.266503,1000000,random-permutations,98
Timsort,449.104983,1000000,random-permutations,99
Finished input type: random-permutations Average ms: 376.34644008000004Fastest time (ms): 336.483515
Timsort,408.134859,1000000,runs-with-exp-len-20,1
Timsort,374.261888,1000000,runs-with-exp-len-20,2
Timsort,329.658221,1000000,runs-with-exp-len-20,3
Timsort,352.486061,1000000,runs-with-exp-len-20,4
Timsort,379.631163,1000000,runs-with-exp-len-20,5
Timsort,392.999923,1000000,runs-with-exp-len-20,6
Timsort,338.05509,1000000,runs-with-exp-len-20,7
Timsort,322.537301,1000000,runs-with-exp-len-20,8
Timsort,393.977984,1000000,runs-with-exp-len-20,9
Timsort,321.833039,1000000,runs-with-exp-len-20,10
Timsort,322.999351,1000000,runs-with-exp-len-20,11
Timsort,326.379663,1000000,runs-with-exp-len-20,12
Timsort,348.946587,1000000,runs-with-exp-len-20,13
Timsort,306.050328,1000000,runs-with-exp-len-20,14
Timsort,330.460392,1000000,runs-with-exp-len-20,15
Timsort,318.754531,1000000,runs-with-exp-len-20,16
Timsort,327.818455,1000000,runs-with-exp-len-20,17
Timsort,317.178607,1000000,runs-with-exp-len-20,18
Timsort,353.617791,1000000,runs-with-exp-len-20,19
Timsort,346.430376,1000000,runs-with-exp-len-20,20
Timsort,479.91699,1000000,runs-with-exp-len-20,21
Timsort,335.383358,1000000,runs-with-exp-len-20,22
Timsort,334.769386,1000000,runs-with-exp-len-20,23
Timsort,527.133149,1000000,runs-with-exp-len-20,24
Timsort,344.957795,1000000,runs-with-exp-len-20,25
Timsort,319.51285,1000000,runs-with-exp-len-20,26
