algorithm,ms,n,input,input-num
Timsort,405.931243,1000000,random-permutations,1
Timsort,410.230523,1000000,random-permutations,2
Timsort,399.648336,1000000,random-permutations,3
Timsort,402.970651,1000000,random-permutations,4
Timsort,399.370172,1000000,random-permutations,5
Timsort,398.46381,1000000,random-permutations,6
Timsort,399.281797,1000000,random-permutations,7
Timsort,398.073373,1000000,random-permutations,8
Timsort,410.246986,1000000,random-permutations,9
Timsort,400.208849,1000000,random-permutations,10
Timsort,387.944045,1000000,random-permutations,11
Timsort,393.453694,1000000,random-permutations,12
Timsort,395.715336,1000000,random-permutations,13
Timsort,396.618102,1000000,random-permutations,14
Timsort,395.300466,1000000,random-permutations,15
Timsort,407.265984,1000000,random-permutations,16
Timsort,397.108888,1000000,random-permutations,17
Timsort,401.140387,1000000,random-permutations,18
Timsort,409.694847,1000000,random-permutations,19
Timsort,424.585035,1000000,random-permutations,20
Timsort,396.775493,1000000,random-permutations,21
Timsort,398.17594,1000000,random-permutations,22
Timsort,394.303163,1000000,random-permutations,23
Timsort,398.025136,1000000,random-permutations,24
Timsort,395.801229,1000000,random-permutations,25
Timsort,405.644773,1000000,random-permutations,26
Timsort,520.329383,1000000,random-permutations,27
Timsort,438.483907,1000000,random-permutations,28
Timsort,410.090959,1000000,random-permutations,29
Timsort,450.601928,1000000,random-permutations,30
Timsort,398.353964,1000000,random-permutations,31
Timsort,390.19447,1000000,random-permutations,32
Timsort,1747.38029,1000000,random-permutations,33
Timsort,1639.140939,1000000,random-permutations,34
Timsort,1652.513238,1000000,random-permutations,35
Timsort,1440.024493,1000000,random-permutations,36
Timsort,1064.817957,1000000,random-permutations,37
Timsort,580.11672,1000000,random-permutations,38
Timsort,675.695502,1000000,random-permutations,39
Timsort,608.19584,1000000,random-permutations,40
Timsort,653.911903,1000000,random-permutations,41
Timsort,454.760192,1000000,random-permutations,42
Timsort,400.977008,1000000,random-permutations,43
Timsort,419.146267,1000000,random-permutations,44
Timsort,420.500858,1000000,random-permutations,45
Timsort,399.912241,1000000,random-permutations,46
Timsort,476.224458,1000000,random-permutations,47
Timsort,517.948392,1000000,random-permutations,48
Timsort,431.928674,1000000,random-permutations,49
Timsort,528.688284,1000000,random-permutations,50
Timsort,667.626664,1000000,random-permutations,51
Timsort,419.06169,1000000,random-permutations,52
Timsort,446.859832,1000000,random-permutations,53
Timsort,636.17351,1000000,random-permutations,54
Timsort,447.819544,1000000,random-permutations,55
Timsort,426.602263,1000000,random-permutations,56
Timsort,433.690305,1000000,random-permutations,57
Timsort,434.989549,1000000,random-permutations,58
Timsort,424.174028,1000000,random-permutations,59
Timsort,435.810654,1000000,random-permutations,60
Timsort,431.139651,1000000,random-permutations,61
Timsort,460.572803,1000000,random-permutations,62
Timsort,421.514841,1000000,random-permutations,63
Timsort,417.343341,1000000,random-permutations,64
Timsort,410.301115,1000000,random-permutations,65
Timsort,409.654697,1000000,random-permutations,66
Timsort,418.652999,1000000,random-permutations,67
Timsort,418.822538,1000000,random-permutations,68
Timsort,416.030465,1000000,random-permutations,69
Timsort,412.436652,1000000,random-permutations,70
Timsort,442.208786,1000000,random-permutations,71
Timsort,404.122116,1000000,random-permutations,72
Timsort,403.952098,1000000,random-permutations,73
Timsort,407.340567,1000000,random-permutations,74
Timsort,413.473543,1000000,random-permutations,75
Timsort,403.208612,1000000,random-permutations,76
Timsort,419.343618,1000000,random-permutations,77
Timsort,400.781107,1000000,random-permutations,78
Timsort,408.903577,1000000,random-permutations,79
Timsort,403.016905,1000000,random-permutations,80
Timsort,429.932293,1000000,random-permutations,81
Timsort,418.658824,1000000,random-permutations,82
Timsort,396.666389,1000000,random-permutations,83
Timsort,404.315568,1000000,random-permutations,84
Timsort,405.706471,1000000,random-permutations,85
Timsort,401.028107,1000000,random-permutations,86
Timsort,413.342022,1000000,random-permutations,87
Timsort,433.635622,1000000,random-permutations,88
Timsort,403.8026,1000000,random-permutations,89
Timsort,398.240667,1000000,random-permutations,90
Timsort,394.096429,1000000,random-permutations,91
Timsort,399.255641,1000000,random-permutations,92
Timsort,400.166646,1000000,random-permutations,93
Timsort,396.132442,1000000,random-permutations,94
Timsort,399.561602,1000000,random-permutations,95
Timsort,406.884177,1000000,random-permutations,96
Timsort,400.69536,1000000,random-permutations,97
Timsort,394.600256,1000000,random-permutations,98
Timsort,404.33478,1000000,random-permutations,99
Finished input type: random-permutations Average ms: 483.67607455999996Fastest time (ms): 387.944045
Timsort,386.36066,1000000,runs-with-exp-len-10,1
Timsort,362.548637,1000000,runs-with-exp-len-10,2
Timsort,372.509013,1000000,runs-with-exp-len-10,3
Timsort,362.025188,1000000,runs-with-exp-len-10,4
Timsort,361.988171,1000000,runs-with-exp-len-10,5
Timsort,363.101252,1000000,runs-with-exp-len-10,6
Timsort,363.217427,1000000,runs-with-exp-len-10,7
Timsort,372.162143,1000000,runs-with-exp-len-10,8
Timsort,383.3534,1000000,runs-with-exp-len-10,9
Timsort,390.488096,1000000,runs-with-exp-len-10,10
Timsort,380.585063,1000000,runs-with-exp-len-10,11
Timsort,410.908328,1000000,runs-with-exp-len-10,12
Timsort,380.113754,1000000,runs-with-exp-len-10,13
Timsort,377.488323,1000000,runs-with-exp-len-10,14
Timsort,378.360916,1000000,runs-with-exp-len-10,15
Timsort,384.862588,1000000,runs-with-exp-len-10,16
Timsort,360.021988,1000000,runs-with-exp-len-10,17
Timsort,360.681506,1000000,runs-with-exp-len-10,18
Timsort,365.420257,1000000,runs-with-exp-len-10,19
Timsort,369.355962,1000000,runs-with-exp-len-10,20
Timsort,381.385741,1000000,runs-with-exp-len-10,21
Timsort,358.120614,1000000,runs-with-exp-len-10,22
Timsort,362.059264,1000000,runs-with-exp-len-10,23
Timsort,357.831725,1000000,runs-with-exp-len-10,24
Timsort,359.838731,1000000,runs-with-exp-len-10,25
Timsort,455.682968,1000000,runs-with-exp-len-10,26
Timsort,374.363876,1000000,runs-with-exp-len-10,27
Timsort,400.042806,1000000,runs-with-exp-len-10,28
Timsort,363.052462,1000000,runs-with-exp-len-10,29
Timsort,406.067207,1000000,runs-with-exp-len-10,30
Timsort,360.039629,1000000,runs-with-exp-len-10,31
Timsort,389.085078,1000000,runs-with-exp-len-10,32
Timsort,445.307946,1000000,runs-with-exp-len-10,33
Timsort,427.350619,1000000,runs-with-exp-len-10,34
Timsort,419.265493,1000000,runs-with-exp-len-10,35
Timsort,387.072165,1000000,runs-with-exp-len-10,36
Timsort,411.810203,1000000,runs-with-exp-len-10,37
Timsort,364.230629,1000000,runs-with-exp-len-10,38
Timsort,409.281025,1000000,runs-with-exp-len-10,39
Timsort,400.872947,1000000,runs-with-exp-len-10,40
Timsort,433.429115,1000000,runs-with-exp-len-10,41
Timsort,367.690651,1000000,runs-with-exp-len-10,42
Timsort,377.599197,1000000,runs-with-exp-len-10,43
Timsort,370.438738,1000000,runs-with-exp-len-10,44
Timsort,354.679126,1000000,runs-with-exp-len-10,45
Timsort,368.310117,1000000,runs-with-exp-len-10,46
Timsort,359.000923,1000000,runs-with-exp-len-10,47
Timsort,362.294197,1000000,runs-with-exp-len-10,48
Timsort,365.047058,1000000,runs-with-exp-len-10,49
Timsort,363.79492,1000000,runs-with-exp-len-10,50
Timsort,364.238989,1000000,runs-with-exp-len-10,51
Timsort,351.70027,1000000,runs-with-exp-len-10,52
Timsort,359.412661,1000000,runs-with-exp-len-10,53
Timsort,482.464508,1000000,runs-with-exp-len-10,54
Timsort,357.142658,1000000,runs-with-exp-len-10,55
Timsort,364.679539,1000000,runs-with-exp-len-10,56
Timsort,361.202407,1000000,runs-with-exp-len-10,57
Timsort,361.439017,1000000,runs-with-exp-len-10,58
Timsort,364.928254,1000000,runs-with-exp-len-10,59
Timsort,358.546098,1000000,runs-with-exp-len-10,60
Timsort,372.390773,1000000,runs-with-exp-len-10,61
Timsort,385.042581,1000000,runs-with-exp-len-10,62
Timsort,365.756662,1000000,runs-with-exp-len-10,63
Timsort,360.723951,1000000,runs-with-exp-len-10,64
Timsort,365.205968,1000000,runs-with-exp-len-10,65
Timsort,379.02407,1000000,runs-with-exp-len-10,66
Timsort,383.524412,1000000,runs-with-exp-len-10,67
Timsort,394.400187,1000000,runs-with-exp-len-10,68
Timsort,400.922241,1000000,runs-with-exp-len-10,69
Timsort,393.77619,1000000,runs-with-exp-len-10,70
Timsort,405.267307,1000000,runs-with-exp-len-10,71
Timsort,398.616205,1000000,runs-with-exp-len-10,72
Timsort,423.788787,1000000,runs-with-exp-len-10,73
Timsort,439.299943,1000000,runs-with-exp-len-10,74
Timsort,386.755612,1000000,runs-with-exp-len-10,75
Timsort,388.453489,1000000,runs-with-exp-len-10,76
Timsort,372.530177,1000000,runs-with-exp-len-10,77
Timsort,374.203185,1000000,runs-with-exp-len-10,78
Timsort,362.071655,1000000,runs-with-exp-len-10,79
Timsort,361.08299,1000000,runs-with-exp-len-10,80
Timsort,373.965991,1000000,runs-with-exp-len-10,81
Timsort,360.692364,1000000,runs-with-exp-len-10,82
Timsort,382.808686,1000000,runs-with-exp-len-10,83
Timsort,374.916283,1000000,runs-with-exp-len-10,84
Timsort,361.651223,1000000,runs-with-exp-len-10,85
Timsort,360.163787,1000000,runs-with-exp-len-10,86
Timsort,362.850285,1000000,runs-with-exp-len-10,87
Timsort,375.139177,1000000,runs-with-exp-len-10,88
Timsort,368.455305,1000000,runs-with-exp-len-10,89
