algorithm,ms,n,input,input-num
timsort,405.902172,1000000,random-permutations,1
timsort,424.467013,1000000,random-permutations,2
timsort,395.724175,1000000,random-permutations,3
timsort,395.316564,1000000,random-permutations,4
timsort,432.632271,1000000,random-permutations,5
timsort,416.723419,1000000,random-permutations,6
timsort,414.741518,1000000,random-permutations,7
timsort,385.432918,1000000,random-permutations,8
timsort,413.369132,1000000,random-permutations,9
timsort,398.637343,1000000,random-permutations,10
timsort,404.560725,1000000,random-permutations,11
timsort,400.813267,1000000,random-permutations,12
timsort,398.819354,1000000,random-permutations,13
timsort,403.208561,1000000,random-permutations,14
timsort,400.521596,1000000,random-permutations,15
timsort,402.940686,1000000,random-permutations,16
timsort,400.442847,1000000,random-permutations,17
timsort,412.191887,1000000,random-permutations,18
timsort,388.795222,1000000,random-permutations,19
timsort,373.410615,1000000,random-permutations,20
timsort,358.136612,1000000,random-permutations,21
timsort,365.508066,1000000,random-permutations,22
timsort,346.844711,1000000,random-permutations,23
timsort,391.94559,1000000,random-permutations,24
timsort,372.679802,1000000,random-permutations,25
timsort,462.627214,1000000,random-permutations,26
timsort,436.513541,1000000,random-permutations,27
timsort,469.858183,1000000,random-permutations,28
timsort,374.512211,1000000,random-permutations,29
timsort,397.431745,1000000,random-permutations,30
timsort,399.64543,1000000,random-permutations,31
timsort,396.235613,1000000,random-permutations,32
timsort,375.077191,1000000,random-permutations,33
timsort,363.770471,1000000,random-permutations,34
timsort,386.378248,1000000,random-permutations,35
timsort,388.104567,1000000,random-permutations,36
timsort,362.019011,1000000,random-permutations,37
timsort,359.982114,1000000,random-permutations,38
timsort,360.618548,1000000,random-permutations,39
timsort,383.68052,1000000,random-permutations,40
timsort,374.376991,1000000,random-permutations,41
timsort,383.151516,1000000,random-permutations,42
timsort,371.986345,1000000,random-permutations,43
timsort,408.028928,1000000,random-permutations,44
timsort,372.595996,1000000,random-permutations,45
timsort,364.528919,1000000,random-permutations,46
timsort,360.65906,1000000,random-permutations,47
timsort,359.1148,1000000,random-permutations,48
timsort,386.558453,1000000,random-permutations,49
timsort,373.862569,1000000,random-permutations,50
timsort,363.325344,1000000,random-permutations,51
timsort,368.833598,1000000,random-permutations,52
timsort,381.870997,1000000,random-permutations,53
timsort,366.913409,1000000,random-permutations,54
timsort,353.210029,1000000,random-permutations,55
timsort,363.263377,1000000,random-permutations,56
timsort,371.88006,1000000,random-permutations,57
timsort,384.401025,1000000,random-permutations,58
timsort,372.072067,1000000,random-permutations,59
timsort,378.002518,1000000,random-permutations,60
timsort,377.117044,1000000,random-permutations,61
timsort,374.903141,1000000,random-permutations,62
timsort,372.04207,1000000,random-permutations,63
timsort,379.664901,1000000,random-permutations,64
timsort,365.226035,1000000,random-permutations,65
timsort,373.41396,1000000,random-permutations,66
timsort,376.841948,1000000,random-permutations,67
timsort,360.060512,1000000,random-permutations,68
timsort,372.731556,1000000,random-permutations,69
timsort,382.413377,1000000,random-permutations,70
timsort,395.749483,1000000,random-permutations,71
timsort,385.490915,1000000,random-permutations,72
timsort,401.025556,1000000,random-permutations,73
timsort,367.415306,1000000,random-permutations,74
timsort,383.417209,1000000,random-permutations,75
timsort,373.023302,1000000,random-permutations,76
timsort,361.077108,1000000,random-permutations,77
timsort,377.670753,1000000,random-permutations,78
timsort,357.350471,1000000,random-permutations,79
timsort,374.978951,1000000,random-permutations,80
timsort,372.669259,1000000,random-permutations,81
timsort,371.221931,1000000,random-permutations,82
timsort,368.617654,1000000,random-permutations,83
timsort,385.735502,1000000,random-permutations,84
timsort,370.226938,1000000,random-permutations,85
timsort,370.988227,1000000,random-permutations,86
timsort,378.434989,1000000,random-permutations,87
timsort,365.902484,1000000,random-permutations,88
timsort,370.118219,1000000,random-permutations,89
timsort,367.200012,1000000,random-permutations,90
timsort,363.440718,1000000,random-permutations,91
timsort,358.433493,1000000,random-permutations,92
timsort,386.198349,1000000,random-permutations,93
timsort,381.799716,1000000,random-permutations,94
timsort,401.454531,1000000,random-permutations,95
timsort,379.151677,1000000,random-permutations,96
timsort,384.408113,1000000,random-permutations,97
timsort,384.674879,1000000,random-permutations,98
timsort,376.120418,1000000,random-permutations,99
#finished: -2023-03-23_17-30-26
