algorithm,ms,n,input,input-num
TimSort,19.641353,100000,random-permutations,1
TimSort,20.020364,100000,random-permutations,2
TimSort,19.634026,100000,random-permutations,3
TimSort,22.106361,100000,random-permutations,4
TimSort,19.956641,100000,random-permutations,5
TimSort,19.300873,100000,random-permutations,6
TimSort,19.96357,100000,random-permutations,7
TimSort,22.071756,100000,random-permutations,8
TimSort,21.299625,100000,random-permutations,9
TimSort,23.973043,100000,random-permutations,10
TimSort,23.612342,100000,random-permutations,11
TimSort,19.639032,100000,random-permutations,12
TimSort,20.112806,100000,random-permutations,13
TimSort,23.702692,100000,random-permutations,14
TimSort,21.604756,100000,random-permutations,15
TimSort,20.513511,100000,random-permutations,16
TimSort,19.474581,100000,random-permutations,17
TimSort,20.198881,100000,random-permutations,18
TimSort,19.717415,100000,random-permutations,19
TimSort,20.467782,100000,random-permutations,20
TimSort,20.065433,100000,random-permutations,21
TimSort,19.901028,100000,random-permutations,22
TimSort,19.77763,100000,random-permutations,23
TimSort,20.056851,100000,random-permutations,24
TimSort,19.88775,100000,random-permutations,25
TimSort,20.504429,100000,random-permutations,26
TimSort,20.219527,100000,random-permutations,27
TimSort,19.575253,100000,random-permutations,28
TimSort,19.461326,100000,random-permutations,29
TimSort,20.05276,100000,random-permutations,30
TimSort,19.760715,100000,random-permutations,31
TimSort,19.80906,100000,random-permutations,32
TimSort,21.495531,100000,random-permutations,33
TimSort,20.640077,100000,random-permutations,34
TimSort,20.425534,100000,random-permutations,35
TimSort,22.772584,100000,random-permutations,36
TimSort,20.778144,100000,random-permutations,37
TimSort,19.958268,100000,random-permutations,38
TimSort,20.526083,100000,random-permutations,39
TimSort,19.568476,100000,random-permutations,40
TimSort,19.672153,100000,random-permutations,41
TimSort,19.709023,100000,random-permutations,42
TimSort,19.780091,100000,random-permutations,43
TimSort,19.878738,100000,random-permutations,44
TimSort,19.981292,100000,random-permutations,45
TimSort,19.681359,100000,random-permutations,46
TimSort,21.644198,100000,random-permutations,47
TimSort,21.523809,100000,random-permutations,48
TimSort,21.011337,100000,random-permutations,49
TimSort,20.388045,100000,random-permutations,50
TimSort,19.723951,100000,random-permutations,51
TimSort,19.461986,100000,random-permutations,52
TimSort,19.600915,100000,random-permutations,53
TimSort,19.764744,100000,random-permutations,54
TimSort,20.691056,100000,random-permutations,55
TimSort,19.914869,100000,random-permutations,56
TimSort,19.941802,100000,random-permutations,57
TimSort,23.359516,100000,random-permutations,58
TimSort,20.225233,100000,random-permutations,59
TimSort,19.921536,100000,random-permutations,60
TimSort,20.157906,100000,random-permutations,61
TimSort,19.993039,100000,random-permutations,62
TimSort,21.106023,100000,random-permutations,63
TimSort,19.782234,100000,random-permutations,64
TimSort,19.509035,100000,random-permutations,65
TimSort,20.104538,100000,random-permutations,66
TimSort,20.037948,100000,random-permutations,67
TimSort,19.667354,100000,random-permutations,68
TimSort,19.829739,100000,random-permutations,69
TimSort,19.805898,100000,random-permutations,70
TimSort,20.413348,100000,random-permutations,71
TimSort,19.772767,100000,random-permutations,72
TimSort,19.98833,100000,random-permutations,73
TimSort,19.725144,100000,random-permutations,74
TimSort,19.282712,100000,random-permutations,75
TimSort,19.843259,100000,random-permutations,76
TimSort,20.059607,100000,random-permutations,77
TimSort,19.66649,100000,random-permutations,78
TimSort,20.041003,100000,random-permutations,79
TimSort,25.31368,100000,random-permutations,80
TimSort,20.443294,100000,random-permutations,81
TimSort,20.517495,100000,random-permutations,82
TimSort,19.837312,100000,random-permutations,83
TimSort,19.615191,100000,random-permutations,84
TimSort,20.314519,100000,random-permutations,85
TimSort,19.788771,100000,random-permutations,86
TimSort,19.499291,100000,random-permutations,87
TimSort,19.811014,100000,random-permutations,88
TimSort,20.188481,100000,random-permutations,89
TimSort,20.136219,100000,random-permutations,90
TimSort,19.865242,100000,random-permutations,91
TimSort,19.563614,100000,random-permutations,92
TimSort,20.022016,100000,random-permutations,93
TimSort,19.654774,100000,random-permutations,94
TimSort,19.651389,100000,random-permutations,95
TimSort,20.521797,100000,random-permutations,96
TimSort,19.693382,100000,random-permutations,97
TimSort,19.418346,100000,random-permutations,98
TimSort,20.592226,100000,random-permutations,99
#finished: -2023-03-26_20-25-30
