algorithm,ms,n,input,input-num
Powersort,412.719131,1000000,random-permutations,1
Powersort,406.611546,1000000,random-permutations,2
Powersort,404.648596,1000000,random-permutations,3
Powersort,396.610176,1000000,random-permutations,4
Powersort,412.697213,1000000,random-permutations,5
Powersort,411.549813,1000000,random-permutations,6
Powersort,401.047708,1000000,random-permutations,7
Powersort,431.570773,1000000,random-permutations,8
Powersort,409.702373,1000000,random-permutations,9
Powersort,404.893041,1000000,random-permutations,10
Powersort,445.387603,1000000,random-permutations,11
Powersort,393.567433,1000000,random-permutations,12
Powersort,412.253273,1000000,random-permutations,13
Powersort,390.434958,1000000,random-permutations,14
Powersort,389.558298,1000000,random-permutations,15
Powersort,373.67305,1000000,random-permutations,16
Powersort,369.674831,1000000,random-permutations,17
Powersort,381.846749,1000000,random-permutations,18
Powersort,390.533078,1000000,random-permutations,19
Powersort,394.313832,1000000,random-permutations,20
Powersort,378.792386,1000000,random-permutations,21
Powersort,372.405837,1000000,random-permutations,22
Powersort,368.90524,1000000,random-permutations,23
Powersort,374.618421,1000000,random-permutations,24
Powersort,402.826156,1000000,random-permutations,25
Powersort,381.403811,1000000,random-permutations,26
Powersort,380.390034,1000000,random-permutations,27
Powersort,366.406398,1000000,random-permutations,28
Powersort,360.372358,1000000,random-permutations,29
Powersort,372.209094,1000000,random-permutations,30
Powersort,368.469946,1000000,random-permutations,31
Powersort,427.659089,1000000,random-permutations,32
Powersort,363.490083,1000000,random-permutations,33
Powersort,369.471873,1000000,random-permutations,34
Powersort,376.728562,1000000,random-permutations,35
Powersort,404.584247,1000000,random-permutations,36
Powersort,393.102853,1000000,random-permutations,37
Powersort,390.551633,1000000,random-permutations,38
Powersort,394.173318,1000000,random-permutations,39
Powersort,376.775681,1000000,random-permutations,40
Powersort,381.113839,1000000,random-permutations,41
Powersort,366.222576,1000000,random-permutations,42
Powersort,369.721505,1000000,random-permutations,43
Powersort,365.413472,1000000,random-permutations,44
Powersort,345.034502,1000000,random-permutations,45
Powersort,356.881955,1000000,random-permutations,46
Powersort,357.646222,1000000,random-permutations,47
Powersort,383.758443,1000000,random-permutations,48
Powersort,364.423234,1000000,random-permutations,49
Powersort,372.36405,1000000,random-permutations,50
Powersort,399.28097,1000000,random-permutations,51
