algorithm,ms,n,input,input-num
Powersort+MinRun,427.070114,1000000,random-permutations,1
Powersort+MinRun,415.847023,1000000,random-permutations,2
Powersort+MinRun,400.259188,1000000,random-permutations,3
Powersort+MinRun,399.830881,1000000,random-permutations,4
Powersort+MinRun,396.899454,1000000,random-permutations,5
Powersort+MinRun,407.699842,1000000,random-permutations,6
Powersort+MinRun,405.229841,1000000,random-permutations,7
Powersort+MinRun,427.117897,1000000,random-permutations,8
Powersort+MinRun,422.38365,1000000,random-permutations,9
Powersort+MinRun,414.068379,1000000,random-permutations,10
Powersort+MinRun,474.010227,1000000,random-permutations,11
Powersort+MinRun,403.750442,1000000,random-permutations,12
Powersort+MinRun,397.363143,1000000,random-permutations,13
Powersort+MinRun,414.870228,1000000,random-permutations,14
Powersort+MinRun,398.958322,1000000,random-permutations,15
Powersort+MinRun,390.856134,1000000,random-permutations,16
Powersort+MinRun,401.51948,1000000,random-permutations,17
Powersort+MinRun,410.792162,1000000,random-permutations,18
Powersort+MinRun,390.697996,1000000,random-permutations,19
Powersort+MinRun,392.968739,1000000,random-permutations,20
Powersort+MinRun,416.399979,1000000,random-permutations,21
Powersort+MinRun,394.8746,1000000,random-permutations,22
Powersort+MinRun,393.92205,1000000,random-permutations,23
Powersort+MinRun,390.135266,1000000,random-permutations,24
Powersort+MinRun,393.297071,1000000,random-permutations,25
Powersort+MinRun,431.221245,1000000,random-permutations,26
Powersort+MinRun,414.885326,1000000,random-permutations,27
Powersort+MinRun,412.600514,1000000,random-permutations,28
Powersort+MinRun,396.894749,1000000,random-permutations,29
Powersort+MinRun,403.818558,1000000,random-permutations,30
Powersort+MinRun,399.226428,1000000,random-permutations,31
Powersort+MinRun,398.281577,1000000,random-permutations,32
Powersort+MinRun,401.526285,1000000,random-permutations,33
Powersort+MinRun,390.376352,1000000,random-permutations,34
Powersort+MinRun,410.771032,1000000,random-permutations,35
Powersort+MinRun,421.692244,1000000,random-permutations,36
Powersort+MinRun,400.549588,1000000,random-permutations,37
Powersort+MinRun,402.274896,1000000,random-permutations,38
Powersort+MinRun,403.693691,1000000,random-permutations,39
Powersort+MinRun,522.341721,1000000,random-permutations,40
Powersort+MinRun,429.343155,1000000,random-permutations,41
Powersort+MinRun,401.092459,1000000,random-permutations,42
Powersort+MinRun,380.705308,1000000,random-permutations,43
Powersort+MinRun,396.723411,1000000,random-permutations,44
Powersort+MinRun,399.769262,1000000,random-permutations,45
Powersort+MinRun,412.440849,1000000,random-permutations,46
Powersort+MinRun,397.587182,1000000,random-permutations,47
Powersort+MinRun,406.658332,1000000,random-permutations,48
Powersort+MinRun,391.746983,1000000,random-permutations,49
Powersort+MinRun,389.430366,1000000,random-permutations,50
Powersort+MinRun,406.821526,1000000,random-permutations,51
Powersort+MinRun,394.490485,1000000,random-permutations,52
Powersort+MinRun,395.19006,1000000,random-permutations,53
Powersort+MinRun,453.60421,1000000,random-permutations,54
Powersort+MinRun,400.979984,1000000,random-permutations,55
Powersort+MinRun,387.022874,1000000,random-permutations,56
Powersort+MinRun,404.410839,1000000,random-permutations,57
Powersort+MinRun,398.452817,1000000,random-permutations,58
Powersort+MinRun,415.809788,1000000,random-permutations,59
Powersort+MinRun,381.116584,1000000,random-permutations,60
Powersort+MinRun,414.751499,1000000,random-permutations,61
Powersort+MinRun,399.182294,1000000,random-permutations,62
Powersort+MinRun,394.635273,1000000,random-permutations,63
Powersort+MinRun,398.118861,1000000,random-permutations,64
Powersort+MinRun,396.563237,1000000,random-permutations,65
Powersort+MinRun,402.788613,1000000,random-permutations,66
Powersort+MinRun,433.964919,1000000,random-permutations,67
Powersort+MinRun,409.81652,1000000,random-permutations,68
Powersort+MinRun,415.732826,1000000,random-permutations,69
Powersort+MinRun,388.291496,1000000,random-permutations,70
Powersort+MinRun,409.7615,1000000,random-permutations,71
Powersort+MinRun,404.877193,1000000,random-permutations,72
Powersort+MinRun,409.138429,1000000,random-permutations,73
Powersort+MinRun,401.511509,1000000,random-permutations,74
Powersort+MinRun,404.574016,1000000,random-permutations,75
Powersort+MinRun,407.571929,1000000,random-permutations,76
Powersort+MinRun,403.581361,1000000,random-permutations,77
Powersort+MinRun,394.854093,1000000,random-permutations,78
Powersort+MinRun,397.623395,1000000,random-permutations,79
Powersort+MinRun,404.739955,1000000,random-permutations,80
Powersort+MinRun,415.709167,1000000,random-permutations,81
Powersort+MinRun,396.607754,1000000,random-permutations,82
Powersort+MinRun,391.772585,1000000,random-permutations,83
Powersort+MinRun,397.429474,1000000,random-permutations,84
Powersort+MinRun,397.292439,1000000,random-permutations,85
Powersort+MinRun,408.038873,1000000,random-permutations,86
Powersort+MinRun,394.009004,1000000,random-permutations,87
Powersort+MinRun,402.023191,1000000,random-permutations,88
Powersort+MinRun,402.267295,1000000,random-permutations,89
Powersort+MinRun,394.134631,1000000,random-permutations,90
Powersort+MinRun,395.450337,1000000,random-permutations,91
Powersort+MinRun,396.894609,1000000,random-permutations,92
Powersort+MinRun,409.775756,1000000,random-permutations,93
Powersort+MinRun,393.375292,1000000,random-permutations,94
Powersort+MinRun,396.178684,1000000,random-permutations,95
Powersort+MinRun,397.892518,1000000,random-permutations,96
Powersort+MinRun,397.092298,1000000,random-permutations,97
Powersort+MinRun,397.031307,1000000,random-permutations,98
Powersort+MinRun,414.827316,1000000,random-permutations,99
#finished: -2023-04-07_15-24-13 Average ms: 405.62676024
